Period,Inst_sector,Inst_sector_code,Descriptor,SNA08TRANS,Asset_liability_code,Values
2007.03,Non-corporate business enterprises,121,Closing balance total assets,LE00000,A000000,345957
2007.03,Non-corporate business enterprises,121,Financial assets Closing balance Total financial assets,LE00000,AFA0000,99757
2007.03,Non-corporate business enterprises,121,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,0
2007.03,Non-corporate business enterprises,121,Financial assets Closing balance currency and deposits,LE00000,AFA0200,14773
2007.03,Non-corporate business enterprises,121,Financial assets Closing balance debt securities,LE00000,AFA0300,1267
2007.03,Non-corporate business enterprises,121,Financial assets Closing balance loans,LE00000,AFA0400,21229
2007.03,Non-corporate business enterprises,121,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,58877
2007.03,Non-corporate business enterprises,121,"Financial assets Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFA0600,285
2007.03,Non-corporate business enterprises,121,Financial assets Closing balance financial derivatives,LE00000,AFA0700,0
2007.03,Non-corporate business enterprises,121,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,3326
2007.03,Non-corporate business enterprises,121,Financial liabilities Closing balance Total financial liabilities,LE00000,AFL0000,345957
2007.03,Non-corporate business enterprises,121,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,0
2007.03,Non-corporate business enterprises,121,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,0
2007.03,Non-corporate business enterprises,121,Financial liabilities Closing balance debt securities,LE00000,AFL0300,4613
2007.03,Non-corporate business enterprises,121,Financial liabilities Closing balance loans,LE00000,AFL0400,62586
2007.03,Non-corporate business enterprises,121,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,270611
2007.03,Non-corporate business enterprises,121,"Financial liabilities Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFL0600,0
2007.03,Non-corporate business enterprises,121,Financial liabilities Closing balance financial derivatives,LE00000,AFL0700,0
2007.03,Non-corporate business enterprises,121,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,8146
2007.03,Non-corporate business enterprises,121,Capital Account Closing balances Total non-financial assets,LE00000,AN00000,246200
2007.03,Non-corporate business enterprises,121,Capital Account Closing balances Produced non-financial assets,LE00000,AN10000,91761
2007.03,Non-corporate business enterprises,121,Capital Account Closing balances Non-produced non-financial assets,LE00000,AN20000,154439
2007.03,Non-corporate business enterprises,121,Closing balance net worth,LE00000,B900000,0
2007.03,Non-corporate business enterprises,121,Closing balance total liabilities and net worth,LE00000,L000000,345957
2007.03,Corporate business enterprises,141,Closing balance total assets,LE00000,A000000,567466
2007.03,Corporate business enterprises,141,Financial assets Closing balance Total financial assets,LE00000,AFA0000,194787
2007.03,Corporate business enterprises,141,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,0
2007.03,Corporate business enterprises,141,Financial assets Closing balance currency and deposits,LE00000,AFA0200,21420
2007.03,Corporate business enterprises,141,Financial assets Closing balance debt securities,LE00000,AFA0300,1915
2007.03,Corporate business enterprises,141,Financial assets Closing balance loans,LE00000,AFA0400,33187
2007.03,Corporate business enterprises,141,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,80690
2007.03,Corporate business enterprises,141,"Financial assets Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFA0600,1036
2007.03,Corporate business enterprises,141,Financial assets Closing balance financial derivatives,LE00000,AFA0700,1869
2007.03,Corporate business enterprises,141,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,54670
2007.03,Corporate business enterprises,141,Financial liabilities Closing balance Total financial liabilities,LE00000,AFL0000,583217
2007.03,Corporate business enterprises,141,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,0
2007.03,Corporate business enterprises,141,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,0
2007.03,Corporate business enterprises,141,Financial liabilities Closing balance debt securities,LE00000,AFL0300,14306
2007.03,Corporate business enterprises,141,Financial liabilities Closing balance loans,LE00000,AFL0400,170961
2007.03,Corporate business enterprises,141,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,347618
2007.03,Corporate business enterprises,141,"Financial liabilities Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFL0600,0
2007.03,Corporate business enterprises,141,Financial liabilities Closing balance financial derivatives,LE00000,AFL0700,2031
2007.03,Corporate business enterprises,141,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,48302
2007.03,Corporate business enterprises,141,Capital Account Closing balances Total non-financial assets,LE00000,AN00000,372679
2007.03,Corporate business enterprises,141,Capital Account Closing balances Produced non-financial assets,LE00000,AN10000,209935
2007.03,Corporate business enterprises,141,Capital Account Closing balances Non-produced non-financial assets,LE00000,AN20000,162744
2007.03,Corporate business enterprises,141,Closing balance net worth,LE00000,B900000,-15751
2007.03,Corporate business enterprises,141,Closing balance total liabilities and net worth,LE00000,L000000,567466
2007.03,Central bank,211,Closing balance total assets,LE00000,A000000,20719
2007.03,Central bank,211,Financial assets Closing balance Total financial assets,LE00000,AFA0000,20663
2007.03,Central bank,211,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,0
2007.03,Central bank,211,Financial assets Closing balance currency and deposits,LE00000,AFA0200,446
2007.03,Central bank,211,Financial assets Closing balance debt securities,LE00000,AFA0300,15368
2007.03,Central bank,211,Financial assets Closing balance loans,LE00000,AFA0400,4313
2007.03,Central bank,211,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,102
2007.03,Central bank,211,"Financial assets Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFA0600,0
2007.03,Central bank,211,Financial assets Closing balance financial derivatives,LE00000,AFA0700,395
2007.03,Central bank,211,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,39
2007.03,Central bank,211,Financial liabilities Closing balance Total financial liabilities,LE00000,AFL0000,20719
2007.03,Central bank,211,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,0
2007.03,Central bank,211,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,13531
